country,city_tier,age,gender,education,household_income_usd,household_size,monthly_energy_bill_usd,appliance_replacement_horizon,env_concern_score,brand_trust,price_sensitivity_score,govt_incentive_awareness,willing_to_purchase_12m,max_willingness_to_pay_usd,adoption_advocate,preferred_financing,service_expectation_days,own_LED,own_SolarHeater,own_InverterAC,own_EnergyStarFridge,own_None,reason_Lowerbills,reason_Environment,reason_Govtrebate,reason_Brandimage,reason_Smartfeatures,reason_Durability,barrier_Highprice,barrier_Fewmodels,barrier_Lowtrust,barrier_Installhassle,barrier_After‑salesdoubts,barrier_None,pref_Inverter,pref_SmartIoT,pref_Compact,pref_RecyclableMaterials,pref_FastService,pref_SolarCompatible,src_OnlineReviews,src_InStoreDemo,src_SocialMedia,src_FriendsFamily,src_GovtPortals,src_InfluencerBlogs,age_group,income_group,bill_group
Singapore,Metro,46,Male,Bachelor,13032.0,5,112.19,1-2yr,3,4,4,0,1,1742.0,3,CreditEMI,3,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,46-55,<15k,80-120
India,Metro,20,Male,Bachelor,66007.0,4,336.45,1-2yr,4,3,3,0,2,6493.0,5,CreditEMI,8,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,18-25,50-80k,120+
UAE,Rural,35,Female,Postgrad,47125.0,2,221.23,1-2yr,2,3,3,1,0,4909.0,3,Cash,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,26-35,30-50k,120+
UAE,Metro,31,Female,Postgrad,61129.0,7,323.63,>2yr,3,3,3,1,1,6111.0,3,Cash,5,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,26-35,50-80k,120+
Singapore,Metro,39,Male,Bachelor,55253.0,3,271.22,6-12mo,3,3,3,1,2,5598.0,2,CreditEMI,7,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,36-45,50-80k,120+
India,Metro,25,Male,Postgrad,4038.0,4,40.93,6-12mo,3,3,3,0,1,982.0,4,StoreFinance,6,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,18-25,<15k,40-80
India,Metro,45,Male,Diploma,16196.0,1,94.25,6-12mo,3,3,4,0,0,2087.0,4,BNPL,6,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,36-45,15-30k,80-120
Singapore,Metro,27,Other,Diploma,35821.0,4,199.35,1-2yr,4,2,1,0,0,3915.0,4,Cash,3,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26-35,30-50k,120+
UAE,Metro,18,Male,Bachelor,16180.0,3,88.45,>2yr,3,3,3,1,0,2067.0,4,CreditEMI,7,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,18-25,15-30k,80-120
India,Rural,39,Female,Diploma,6806.0,5,57.94,<6mo,3,3,4,0,0,1205.0,3,CreditEMI,2,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,36-45,<15k,40-80
India,Metro,53,Male,Diploma,42009.0,8,240.16,<6mo,3,3,2,0,1,4130.0,2,CreditEMI,6,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,46-55,30-50k,120+
India,Metro,25,Female,Secondary,9812.0,5,86.72,6-12mo,4,4,2,1,1,1627.0,3,BNPL,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18-25,<15k,80-120
India,Metro,23,Female,Diploma,12303.0,4,59.93,<6mo,4,3,3,0,0,1848.0,4,Cash,5,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18-25,<15k,40-80
India,Metro,34,Male,Diploma,23821.0,3,129.82,6-12mo,1,3,2,1,1,2552.0,1,Cash,5,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,26-35,15-30k,120+
Singapore,Metro,26,Male,Postgrad,55988.0,4,278.28,<6mo,2,2,4,0,0,5705.0,1,CreditEMI,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,26-35,50-80k,120+
India,Rural,33,Male,Secondary,17203.0,1,69.99,>2yr,5,3,4,1,1,2217.0,4,StoreFinance,8,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,26-35,15-30k,40-80
India,Tier2,41,Female,Diploma,12166.0,7,79.27,1-2yr,4,4,3,1,1,1652.0,4,Cash,6,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,36-45,<15k,40-80
India,Tier2,18,Female,Bachelor,51228.0,5,255.5,1-2yr,3,3,4,0,0,5290.0,5,CreditEMI,5,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18-25,50-80k,120+
India,Metro,29,Female,Diploma,12802.0,4,82.33,6-12mo,2,3,5,0,0,1628.0,2,CreditEMI,5,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,26-35,<15k,80-120
India,Tier2,21,Female,Diploma,7635.0,3,26.75,>2yr,5,3,2,1,2,1290.0,5,CreditEMI,3,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,18-25,<15k,<40
India,Metro,40,Male,Diploma,9013.0,2,44.66,1-2yr,5,1,1,0,0,1486.0,4,StoreFinance,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,36-45,<15k,40-80
India,Metro,39,Male,Diploma,15287.0,7,108.4,6-12mo,2,3,4,0,0,1985.0,1,Cash,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,36-45,15-30k,80-120
India,Metro,51,Female,Bachelor,18306.0,8,124.48,1-2yr,2,4,3,1,0,2279.0,2,Cash,6,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,46-55,15-30k,120+
Singapore,Metro,29,Male,Postgrad,31072.0,4,148.73,1-2yr,2,5,3,1,2,3344.0,1,StoreFinance,5,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26-35,30-50k,120+
India,Tier2,40,Male,Diploma,13815.0,4,98.58,>2yr,2,3,4,1,0,1746.0,1,BNPL,6,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,36-45,<15k,80-120
India,Tier2,29,Male,Secondary,10226.0,4,73.06,<6mo,3,4,3,0,0,1305.0,4,Cash,6,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,26-35,<15k,40-80
India,Tier2,22,Female,Bachelor,3734.0,5,42.28,1-2yr,3,3,5,0,0,934.0,4,CreditEMI,4,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,18-25,<15k,40-80
India,Tier2,31,Male,Diploma,4281.0,4,43.23,>2yr,1,2,4,1,2,791.0,1,StoreFinance,6,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,26-35,<15k,40-80
Singapore,Metro,37,Female,Secondary,135807.0,5,656.24,1-2yr,3,4,3,1,2,12854.0,2,CreditEMI,3,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,36-45,80k+,120+
Singapore,Metro,50,Male,Diploma,83758.0,4,408.09,1-2yr,3,2,3,0,1,8085.0,2,StoreFinance,3,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,46-55,80k+,120+
UAE,Metro,33,Female,Bachelor,23336.0,3,130.87,6-12mo,5,5,3,0,2,2632.0,5,BNPL,2,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,26-35,15-30k,120+
UAE,Metro,23,Male,Secondary,25374.0,6,142.58,6-12mo,3,4,5,0,1,2947.0,3,BNPL,7,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,18-25,15-30k,120+
India,Metro,41,Female,Secondary,18891.0,7,139.51,<6mo,3,4,3,0,0,2218.0,3,CreditEMI,4,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,36-45,15-30k,120+
India,Metro,25,Male,Bachelor,26254.0,2,136.94,6-12mo,4,4,2,1,1,3082.0,3,StoreFinance,2,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18-25,15-30k,120+
UAE,Metro,18,Male,Secondary,40065.0,5,211.54,>2yr,2,3,2,0,1,4107.0,1,Cash,5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,18-25,30-50k,120+
UAE,Metro,36,Male,Bachelor,31448.0,1,139.94,<6mo,4,3,3,1,2,3440.0,5,Cash,4,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,36-45,30-50k,120+
India,Metro,45,Male,Diploma,3100.0,4,36.27,<6mo,4,4,4,0,0,1003.0,4,CreditEMI,8,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,36-45,<15k,<40
Singapore,Metro,42,Male,Postgrad,35650.0,5,188.91,1-2yr,2,5,3,1,1,3854.0,2,CreditEMI,4,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36-45,30-50k,120+
Singapore,Metro,35,Female,Bachelor,95177.0,3,442.06,<6mo,4,2,4,0,2,8987.0,4,CreditEMI,4,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,26-35,80k+,120+
India,Metro,24,Male,Bachelor,14264.0,3,82.63,6-12mo,2,3,3,1,0,1861.0,2,CreditEMI,6,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,18-25,<15k,80-120
India,Metro,40,Male,Bachelor,12422.0,6,90.19,6-12mo,5,3,2,1,2,1752.0,4,CreditEMI,12,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,36-45,<15k,80-120
India,Metro,41,Female,Secondary,42125.0,3,217.84,1-2yr,5,3,3,1,1,4456.0,3,Cash,7,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,36-45,30-50k,120+
UAE,Metro,19,Female,Bachelor,73347.0,4,350.86,>2yr,4,3,5,1,2,7068.0,4,Cash,5,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,18-25,50-80k,120+
India,Metro,43,Female,Secondary,3534.0,4,18.66,6-12mo,4,3,3,0,1,927.0,2,CreditEMI,3,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,36-45,<15k,<40
India,Metro,31,Female,Bachelor,12574.0,4,48.35,6-12mo,3,3,3,1,1,1882.0,3,CreditEMI,7,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,26-35,<15k,40-80
India,Tier2,23,Female,Diploma,9619.0,2,54.3,1-2yr,3,3,3,1,1,1644.0,2,CreditEMI,4,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,18-25,<15k,40-80
India,Tier2,40,Female,Bachelor,24807.0,2,135.54,<6mo,4,5,2,1,2,2966.0,5,CreditEMI,5,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36-45,15-30k,120+
Singapore,Metro,35,Female,Bachelor,17489.0,3,105.04,6-12mo,3,3,4,1,1,2052.0,3,CreditEMI,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,26-35,15-30k,80-120
India,Metro,37,Female,Bachelor,15770.0,3,79.23,>2yr,3,5,4,1,2,2141.0,2,CreditEMI,2,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,36-45,15-30k,40-80
Singapore,Metro,53,Male,Diploma,16888.0,4,131.01,1-2yr,2,2,4,1,0,2022.0,4,StoreFinance,4,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,46-55,15-30k,120+
India,Tier2,23,Male,Diploma,11991.0,4,81.72,6-12mo,4,5,4,1,1,1738.0,4,Cash,6,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,18-25,<15k,80-120
Singapore,Metro,40,Female,Bachelor,52076.0,4,248.67,1-2yr,3,4,3,1,2,5260.0,4,CreditEMI,2,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,36-45,50-80k,120+
India,Rural,34,Male,Bachelor,9612.0,4,70.53,<6mo,4,4,2,1,1,1426.0,4,CreditEMI,2,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,26-35,<15k,40-80
India,Metro,37,Male,Bachelor,13088.0,2,73.25,6-12mo,5,4,2,0,1,1758.0,4,CreditEMI,7,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,36-45,<15k,40-80
UAE,Metro,24,Female,Postgrad,61844.0,2,296.38,>2yr,3,3,3,1,1,6131.0,2,CreditEMI,8,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,18-25,50-80k,120+
UAE,Metro,18,Male,Bachelor,36432.0,3,181.76,1-2yr,3,3,3,0,0,4030.0,5,Cash,3,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,18-25,30-50k,120+
Singapore,Metro,18,Male,Postgrad,20937.0,4,155.16,1-2yr,3,4,3,0,2,2680.0,4,StoreFinance,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,18-25,15-30k,120+
Singapore,Metro,30,Male,Postgrad,19923.0,6,126.21,6-12mo,4,3,3,0,1,2493.0,4,BNPL,3,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26-35,15-30k,120+
Singapore,Metro,20,Male,Bachelor,31928.0,2,151.17,>2yr,3,4,3,1,0,3396.0,3,BNPL,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,18-25,30-50k,120+
UAE,Metro,18,Female,Bachelor,52433.0,6,266.28,6-12mo,5,4,2,1,2,5309.0,5,Cash,3,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,18-25,50-80k,120+
India,Metro,30,Female,Diploma,10253.0,4,71.22,6-12mo,3,4,3,1,1,1486.0,3,Cash,3,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,26-35,<15k,40-80
India,Rural,25,Male,Bachelor,7390.0,5,57.02,1-2yr,5,4,1,1,2,1485.0,5,CreditEMI,6,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,18-25,<15k,40-80
India,Tier2,31,Female,Bachelor,11389.0,4,61.04,6-12mo,1,3,3,1,0,1661.0,3,Cash,7,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,26-35,<15k,40-80
India,Tier2,25,Male,Postgrad,16587.0,3,95.89,>2yr,2,3,4,0,1,2166.0,2,CreditEMI,9,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18-25,15-30k,80-120
UAE,Metro,28,Female,Bachelor,23694.0,1,96.06,6-12mo,3,3,1,0,1,2612.0,3,StoreFinance,3,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,26-35,15-30k,80-120
India,Metro,26,Male,Bachelor,14864.0,3,86.81,<6mo,4,4,2,0,1,1925.0,3,CreditEMI,6,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,26-35,<15k,80-120
India,Metro,29,Female,Secondary,26464.0,2,130.16,<6mo,3,3,3,1,0,2936.0,2,Cash,5,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26-35,15-30k,120+
India,Tier2,18,Male,Secondary,28324.0,4,149.49,<6mo,5,4,2,0,2,3146.0,5,CreditEMI,7,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,18-25,15-30k,120+
UAE,Metro,31,Female,Postgrad,42047.0,4,221.34,<6mo,3,3,1,0,0,4587.0,4,CreditEMI,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,26-35,30-50k,120+
UAE,Tier2,24,Male,Postgrad,44609.0,4,223.3,1-2yr,2,5,3,1,2,4654.0,1,BNPL,6,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,18-25,30-50k,120+
India,Metro,20,Male,Secondary,4792.0,5,50.95,1-2yr,3,3,4,1,0,885.0,4,Cash,7,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18-25,<15k,40-80
India,Metro,26,Female,Bachelor,17250.0,1,72.19,>2yr,3,2,3,1,0,2180.0,3,Cash,6,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,26-35,15-30k,40-80
India,Tier2,41,Male,Diploma,23559.0,3,125.95,1-2yr,5,2,3,0,0,2788.0,5,Cash,4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,36-45,15-30k,120+
UAE,Metro,31,Female,Secondary,25130.0,7,145.51,<6mo,4,3,3,1,1,2799.0,4,CreditEMI,2,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,26-35,15-30k,120+
Singapore,Metro,35,Male,Postgrad,62255.0,1,270.61,>2yr,3,2,3,1,1,6235.0,3,StoreFinance,2,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,26-35,50-80k,120+
India,Metro,37,Male,Secondary,28680.0,2,147.57,1-2yr,3,3,4,0,0,3292.0,1,CreditEMI,2,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,36-45,15-30k,120+
Singapore,Metro,46,Male,Diploma,13752.0,3,79.82,1-2yr,5,3,2,1,1,1957.0,5,Cash,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,46-55,<15k,40-80
Singapore,Metro,38,Female,Postgrad,85001.0,3,413.53,>2yr,2,3,3,1,0,8169.0,2,BNPL,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,36-45,80k+,120+
India,Metro,52,Female,Postgrad,15509.0,7,90.68,>2yr,5,5,2,0,1,2049.0,3,StoreFinance,4,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,46-55,15-30k,80-120
UAE,Metro,34,Male,Postgrad,41715.0,4,185.77,>2yr,1,2,1,0,0,4310.0,2,StoreFinance,2,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,26-35,30-50k,120+
UAE,Metro,56,Female,Diploma,27983.0,4,153.93,6-12mo,2,4,4,1,0,3212.0,1,Cash,4,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,56+,15-30k,120+
India,Tier2,40,Male,Bachelor,21975.0,3,121.24,6-12mo,4,4,3,1,0,2785.0,4,BNPL,6,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,36-45,15-30k,120+
UAE,Metro,41,Female,Diploma,31172.0,2,136.27,>2yr,4,2,4,1,1,3352.0,2,CreditEMI,9,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,36-45,30-50k,120+
Singapore,Metro,44,Female,Secondary,34122.0,4,181.88,<6mo,4,3,2,1,1,3590.0,2,CreditEMI,2,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,36-45,30-50k,120+
India,Metro,35,Male,Secondary,17923.0,3,70.55,>2yr,4,3,1,1,2,2272.0,3,CreditEMI,4,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,26-35,15-30k,40-80
Singapore,Metro,41,Male,Postgrad,13751.0,3,65.76,6-12mo,5,3,3,1,1,2036.0,3,Cash,2,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,36-45,<15k,40-80
India,Metro,42,Male,Diploma,11067.0,4,78.91,6-12mo,5,3,4,1,0,1663.0,5,CreditEMI,7,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,36-45,<15k,40-80
UAE,Metro,36,Male,Postgrad,12861.0,4,69.73,6-12mo,2,4,3,1,1,1648.0,2,Cash,8,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,36-45,<15k,40-80
India,Metro,45,Other,Secondary,3219.0,5,60.8,1-2yr,3,4,2,0,0,854.0,2,CreditEMI,4,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36-45,<15k,40-80
India,Tier2,35,Male,Diploma,26491.0,5,149.2,>2yr,4,4,4,1,1,2958.0,3,StoreFinance,4,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,26-35,15-30k,120+
India,Metro,31,Male,Secondary,5526.0,4,39.85,6-12mo,2,1,2,1,0,921.0,3,Cash,3,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,26-35,<15k,<40
UAE,Metro,28,Male,Bachelor,61434.0,5,318.17,1-2yr,4,3,3,0,2,6052.0,4,CreditEMI,6,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,26-35,50-80k,120+
India,Tier2,42,Female,Secondary,14802.0,4,107.37,>2yr,3,2,4,1,0,1939.0,2,BNPL,6,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,36-45,<15k,80-120
India,Metro,40,Male,Diploma,5052.0,5,63.62,>2yr,5,3,3,0,2,1468.0,5,StoreFinance,5,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,36-45,<15k,40-80
Singapore,Metro,23,Male,Postgrad,18652.0,5,88.68,>2yr,4,3,4,1,1,2143.0,5,StoreFinance,4,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,18-25,15-30k,80-120
India,Tier2,26,Other,Diploma,27899.0,5,148.41,6-12mo,3,4,2,0,2,2957.0,4,CreditEMI,5,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,26-35,15-30k,120+
UAE,Metro,25,Female,Postgrad,51914.0,3,243.29,6-12mo,4,3,4,0,2,5305.0,5,StoreFinance,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,18-25,50-80k,120+
India,Tier2,46,Male,Bachelor,17663.0,1,106.65,6-12mo,4,4,3,1,1,2184.0,2,CreditEMI,2,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,46-55,15-30k,80-120
India,Metro,47,Male,Secondary,20125.0,3,112.22,1-2yr,1,3,3,1,0,2293.0,2,BNPL,5,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,46-55,15-30k,80-120
