country,city_tier,age,gender,education,household_income_usd,household_size,monthly_energy_bill_usd,appliance_replacement_horizon,env_concern_score,energy_saving_priority,brand_trust,price_sensitivity_score,govt_incentive_awareness,willing_to_purchase_12m,max_willingness_to_pay_usd,adoption_advocate,preferred_financing,service_expectation_days,own_LED,own_SolarHeater,own_InverterAC,own_None,barrier_Price,barrier_Models,barrier_Trust,barrier_Install,barrier_None,pref_Inverter,pref_SmartIoT,pref_Compact,pref_Recyclable,pref_FastService,src_OnlineRev,src_InStore,src_Social,src_FriendsFam,src_GovtPortal
Singapore,Metro,46,Male,Bachelor,15953.0,5,127.65,1-2yr,3,Environment,3,2,1,0,6926.688219055597,5,CreditEMI,6,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0
India,Metro,20,Male,Bachelor,57240.0,4,317.8,>2yr,4,Environment,4,4,1,2,5306.0,5,StoreFinance,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
UAE,Rural,35,Female,Postgrad,50539.0,2,258.73,<6mo,4,Lower bills,3,4,1,1,4712.0,4,Cash,6,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0
UAE,Metro,31,Female,Postgrad,64153.0,7,362.81,1-2yr,4,Environment,2,3,1,1,5615.0,5,CreditEMI,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Singapore,Metro,39,Male,Bachelor,59315.0,3,314.06,>2yr,4,Environment,3,2,1,1,5486.0,4,Cash,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
India,Metro,25,Male,Postgrad,5220.0,4,48.12,>2yr,3,Environment,3,3,1,1,977.0,5,BNPL,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
India,Metro,45,Male,Diploma,17167.0,1,103.35,6-12mo,3,Lower bills,2,2,0,1,2024.0,4,Cash,5,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
Singapore,Metro,27,Other,Diploma,40000.0,4,232.64,6-12mo,3,Environment,3,4,1,0,3630.0,2,BNPL,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
UAE,Metro,18,Male,Bachelor,18969.0,3,109.26,6-12mo,4,Brand image,3,1,1,1,2030.0,4,Cash,9,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
India,Rural,39,Female,Diploma,8165.0,5,67.28,<6mo,3,New tech,4,2,0,0,1303.0,3,CreditEMI,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
India,Metro,53,Male,Diploma,38859.0,8,240.65,6-12mo,2,Environment,2,1,1,0,3610.0,1,CreditEMI,3,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1
India,Metro,25,Female,Secondary,11172.0,5,94.82,6-12mo,3,New tech,3,3,1,1,1336.0,3,StoreFinance,5,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
India,Metro,23,Female,Diploma,13563.0,4,74.1,6-12mo,3,Environment,2,3,1,0,1570.0,5,Cash,5,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
India,Metro,34,Male,Diploma,23895.0,3,139.18,6-12mo,3,Lower bills,3,4,1,0,2335.0,1,BNPL,7,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
Singapore,Metro,26,Male,Postgrad,60032.0,4,321.55,>2yr,3,New tech,4,4,1,1,5494.0,1,CreditEMI,3,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
India,Rural,33,Male,Secondary,18077.0,1,83.83,>2yr,3,Lower bills,3,3,0,0,1969.0,1,CreditEMI,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
India,Tier2,41,Female,Diploma,13433.0,7,92.59,<6mo,3,New tech,3,2,1,0,1624.0,1,StoreFinance,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
India,Tier2,18,Female,Bachelor,46062.0,5,251.73,>2yr,4,New tech,4,4,1,0,4217.0,3,CreditEMI,8,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1
India,Metro,29,Female,Diploma,14033.0,4,93.21,1-2yr,3,Lower bills,3,3,1,1,1699.0,3,StoreFinance,6,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
India,Tier2,21,Female,Diploma,9010.0,3,40.68,6-12mo,1,Lower bills,4,4,0,0,1065.0,1,Cash,5,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0
India,Metro,40,Male,Diploma,10388.0,2,56.4,>2yr,4,Environment,3,2,1,0,1442.0,5,Cash,3,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1
India,Metro,39,Male,Diploma,16337.0,7,119.46,1-2yr,3,Brand image,1,3,1,0,1827.0,4,StoreFinance,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
India,Metro,51,Female,Bachelor,19067.0,8,135.81,6-12mo,2,New tech,1,1,0,1,1974.0,2,Cash,6,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0
Singapore,Metro,29,Male,Postgrad,35148.0,4,184.34,>2yr,3,Environment,4,2,1,1,3465.0,2,Cash,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
India,Tier2,40,Male,Diploma,14980.0,4,107.62,6-12mo,4,Lower bills,3,1,0,1,1669.0,4,StoreFinance,8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
India,Tier2,29,Male,Secondary,11575.0,4,83.03,6-12mo,3,Lower bills,1,1,0,1,1470.0,2,CreditEMI,5,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0
India,Tier2,22,Female,Bachelor,4881.0,5,49.54,>2yr,4,Environment,4,3,0,0,1016.0,4,CreditEMI,6,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
India,Tier2,31,Male,Diploma,5488.0,4,50.45,1-2yr,4,Lower bills,2,2,0,0,998.0,4,StoreFinance,3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Singapore,Metro,37,Female,Secondary,134346.0,5,704.06,6-12mo,3,Govt rebate,4,4,1,2,11408.0,2,CreditEMI,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
Singapore,Metro,50,Male,Diploma,86578.0,4,456.39,6-12mo,2,Lower bills,5,3,1,1,17067.982592990975,2,Cash,4,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
UAE,Metro,33,Female,Bachelor,26536.0,3,155.1,>2yr,3,Environment,4,3,1,0,2599.0,3,StoreFinance,8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
UAE,Metro,23,Male,Secondary,28654.0,6,170.17,6-12mo,3,Brand image,3,1,1,1,2896.0,3,StoreFinance,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
India,Metro,41,Female,Secondary,19588.0,7,147.88,1-2yr,5,Environment,1,4,1,2,2230.0,4,BNPL,6,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
India,Metro,25,Male,Bachelor,25972.0,2,145.37,>2yr,3,Environment,5,3,0,1,2606.0,5,BNPL,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
UAE,Metro,18,Male,Secondary,43554.0,5,245.19,>2yr,4,Lower bills,4,4,1,1,4129.0,4,Cash,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
UAE,Metro,36,Male,Bachelor,34883.0,1,171.75,1-2yr,4,Lower bills,2,3,0,1,3314.0,5,Cash,9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
